NOTES: I need the things marked with an X,,,
name,Cart,Box,Instructions
Jackal,,x,x
Jackie Chan's Action Kung Fu,,x,x
James Bond Jr,x,x,x
Jaws,,x,
Jeopardy,,,
Jeopardy 25th Anniversary,,x,
Jeopardy Jr,x,x,x
Jetsons Cogswell's Caper,x,x,x
Jimmy Connors Tennis,x,x,x
Joe and Mac,x,x,x
John Elway's Quarterback,,x,x
Jordan vs Bird One on One,,x,x
Joshua: The Battle of Jericho,,x,x
Journey to Silius,,x,x
Joust,,x,x
Jurassic Park,,x,x
Kabuki Quantum Fighter,,x,x
Karate Champ,,x,
Karnov,,x,x
Kick Master,,x,x
Kickle Cubicle,,,
Kid Icarus,,,
Kid Klown in Night Mayor World,x,x,x
Kid Kool,,,
Kid Niki Radical Ninja,,x,x
King Neptune's Adventure,x,x,x
King of Kings,,x,x
King's Knight,,x,x
King's Quest V,,x,x
Kings of the Beach,,x,x
Kirby's Adventure,,,
Kiwi Kraze,,,
Klashball,,x,x
Klax,,,
Knight Rider,,x,x
Krazy Kreatures,x,x,x
Krion Conquest,x,x,x
Krusty's Fun House,,,
Kung Fu,,,
Kung Fu Heroes,x,x,x
L'Empereur,x,x,x
Laser Invasion,,x,x
Laserscope,,,
Last Action Hero,x,x,x
Last Starfighter,x,x,x
Lee Trevino's Fighting Golf,,x,x
Legacy of the Wizard,,,
Legend of Kage,x,x,x
Legend of Zelda,,,
Legendary Wings,,x,x
Legends of the Diamond,,x,x
Lemmings,x,x,x
Lethal Weapon,x,x,x
Life Force,,,
Linus Spacehead's Cosmic Adventure,x,x,x
Linus Spacehead's Cosmic Adventure [Aladdin],,,
Little League Baseball,,x,x
Little Mermaid,,x,x
Little Nemo The Dream Master,,x,x
Little Ninja Brothers,x,x,x
Little Samson,x,x,x
Lode Runner,,x,x
Lone Ranger,x,x,x
Loopz,,x,x
Low G Man,x,x,x
Lunar Pool,,x,x
M.C. Kids,,,
M.U.L.E.,x,x,x
MTV Remote Control,,,
MUSCLE,x,x,x
Mach Rider,,,
Mad Max,,,
Magic Darts,,x,x
Magic Johnson's Fast Break,,,
Magician,x,x,x
Magmax,,,x
Major League Baseball,,x,x
Maniac Mansion,,,
Mappy-Land,,x,
Marble Madness,,x,
Mario Bros,,x,x
Mario Is Missing,,x,x
Mario's Time Machine,,x,x
Master Chu and the Drunkard Hu,x,x,x
Maxi 15,x,x,x
Mechanized Attack,,x,x
Mega Man,,x,x
Mega Man 2,,x,x
Mega Man 3,,x,x
Mega Man 4,,,
Mega Man 5,x,x,x
Mega Man 6,x,x,x
Menace Beach,x,x,x
Mendel Palace,,x,
Mermaids of Atlantis,,,
Metal Fighter,,x,x
Metal Gear,,x,x
Metal Mech,,,
Metal Storm,,x,
Metroid,,,
Metroid [Yellow Label],,,x
Michael Andretti's World GP,x,x,x
Mickey Mousecapade,,,
Mickey's Adventure in Numberland,x,x,x
Mickey's Safari in Letterland,x,x,x
Micro Machines,x,x,x
Micro Machines [Aladdin],,,
Mig 29,,x,x
Might and Magic,x,x,x
Mighty Bomb Jack,,x,x
Mighty Final Fight,,x,x
Mike Tyson's Punch-Out,,x,
Millipede,,x,x
Milon's Secret Castle,,x,
Miracle Piano,,x,x
Mission Cobra,x,x,x
Mission Impossible,,,
Monopoly,,x,x
Monster Party,,x,x
Monster Truck Rally,x,x,x
Monster in My Pocket,x,x,x
Moon Ranger,x,x,x
Motor City Patrol,x,x,x
Ms. Pac-Man (Namco),x,x,x
Ms. Pac-Man [Tengen],x,x,x
Muppet Adventure,,x,x
Mutant Virus,x,x,x
Myriad 6-in-1,x,x,x
Mystery Quest,x,x,x
NARC,,,
NES Open Tournament Golf,,,
NFL Football,,x,x
Nigel Mansell's World Championship Racing,x,x,x
Nightshade,,,
Ninja Crusaders,,x,x
Ninja Gaiden,,x,x
Ninja Gaiden II The Dark Sword of Chaos,,,
Ninja Gaiden III Ancient Ship of Doom,x,x,x
Ninja Kid,,x,x
Nintendo Campus Challenge 1991,x,x,x
Nintendo World Championship,x,x,x
Nintendo World Championship Gold,x,x,x
Nintendo World Cup,,x,x
Nobunaga's Ambition,,,
Nobunaga's Ambition 2,x,x,x
North and South,x,x,x
ORB 3D,,,
Operation Secret Storm,x,x,x
Operation Wolf,,x,x
Othello,,x,x
Overlord,x,x,x
P'radikus Conflict,,x,x
POW Prisoners of War,,x,x
Pac-Man (Namco),x,x,x
Pac-Man [Tengen],,x,x
Pac-Mania,x,x,x
Palamedes,,x,x
Panic Restaurant,x,x,x
Paperboy,,x,x
Paperboy 2,,x,x
Peek-a-Boo Poker,x,x,x
Pesterminator,x,x,x
Peter Pan and the Pirates,x,x,x
Phantom Fighter,,x,x
Pictionary,,x,x
Pin-Bot,,x,x
Pinball,,,
Pinball Quest,,x,x
Pipe Dream,,,
Pirates,x,x,x
Platoon,,x,x
Play Action Football,,,
Popeye,,x,x
Power Blade,x,x,x
Power Blade 2,x,x,x
Power Punch II,x,x,x
Predator,x,x,x
Prince of Persia,x,x,x
Princess Tomato in the Salad Kingdom,x,x,x
Pro Sports Hockey,x,x,x
Pro Wrestling,,x,x
Punch-Out,,x,x
Puss N' Boots: Pero's Great Adventure,x,x,x
Puzzle,,x,x
Puzznic,,,x
Pyramid,,x,x
Q*bert,,x,x
Qix,x,x,x
Quattro Adventure,,,
Quattro Adventure [Aladdin],,,
Quattro Arcade,,,
Quattro Sports,,x,x
Quattro Sports [Aladdin],,,
RBI Baseball,,x,x
RBI Baseball 2,,x,x
RBI Baseball 3,,,
RC Pro-AM,,x,x
RC Pro-AM II,x,x,x
