Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Captain Skyhawk,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.96,,,,,,
Casino Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.36,,,,,,
Castlequest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.94,,,,,,
Castlevania (1986),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.99,,,,,,
Castlevania II: Simon's Quest,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.48,,,,,,
Castlevania III: Dracula's Curse,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$27.03,,,,,,
Caveman Games,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.77,,,,,,
Championship Bowling (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.20,,,,,,
Chip 'n Dale Rescue Rangers,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.50,,,,,,
Chubby Cherub,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$62.69,,,,,,
Circus Caper,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.41,,,,,,
City Connection,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.52,,,,,,
Clash at Demonhead,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.41,,,,,,
Classic Concentration,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.51,,,,,,
Clu Clu Land,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$22.99,,,,,,
Cobra Command (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.07,,,,,,
Cobra Triangle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.86,,,,,,
Code Name: Viper,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.01,,,,,,
Color a Dinosaur,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$100.00,,,,,,
Commando,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.02,,,,,,
Conflict,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.42,,,,,,
Conquest of the Crystal Palace,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.52,,,,,,
Contra,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$26.46,,,,,,
Cool Spot,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
