Title,Loose Price,CIB Price,New Price,
Legend of Kage,$5.99,$20.99,$112.38
Spy vs. Spy,$6.00,$25.25,$104.92
Xevious,$5.22,$14.33,$43.50
Bee 52,$14.99,$27.42,$58.28
Days Of Thunder,$5.74,$13.50,$66.99
Miracle Piano,$14.71,$173.87,$556.38
POW Prisoners of War,$8.94,$25.00,$75.49
The Jungle Book,$25.71,$64.17,$149.99
Crash 'n' the Boys: Street Challenge,$34.35,$54.99,$220.62
King of Kings,$12.93,$24.76,$66.68
Mario Bros [5 Screw],$21.99,$99.99,$247.14
Tecmo World Wrestling,$6.93,$14.43,$88.74
Elevator Action,$8.07,$28.71,$172.50
NES Satellite 4 Controller Port,$13.66,$36.85,$113.49
L'Empereur,$88.89,$129.99,$304.00
720,$4.72,$18.02,$42.19
Pirates,$21.85,$47.73,$102.00
Seicross,$4.99,$17.15,$46.31
Attack of the Killer Tomatoes,$23.92,$45.00,$131.84
Bigfoot,$6.99,$19.91,$39.00
Circus Caper,$8.84,$26.47,$69.00
3D WorldRunner,$6.68,$35.21,$70.00
Double Dare,$10.75,$34.98,$94.57
Rollerball,$6.45,$17.49,$53.06
Baby Boomer,$50.72,$94.56,$119.89
Dogbone Controller,$23.01,$62.13,$129.99
Shooting Range,$8.21,$19.95,$34.99
Wolverine,$17.10,$41.50,$212.69
Jeopardy 25th Anniversary,$4.09,$7.99,$21.26
Phantom Fighter,$8.99,$17.14,$76.62
Mystery Quest,$6.99,$21.24,$58.73
Shinobi,$11.86,$26.04,$78.11
Where in Time is Carmen Sandiego,$7.50,$30.49,$62.42
Taboo the Sixth Sense,$5.17,$13.09,$32.30
WWF Wrestlemania Challenge,$6.39,$18.00,$95.00
NFL Football,$4.40,$9.09,$21.50
Star Voyager,$4.01,$14.49,$48.77
Superman,$15.94,$50.54,$156.79
Widget,$39.34,$108.98,$249.95
Xenophobe,$5.99,$16.35,$38.44
Krazy Kreatures,$15.10,$29.85,$79.99
Stinger,$9.97,$41.49,$130.87
Danny Sullivan's Indy Heat,$23.53,$44.99,$144.99
Dragon's Lair the Legend,$17.56,$34.98,$110.14
Ms. Pac-Man (Namco),$26.49,$53.10,$169.80
Peter Pan and the Pirates,$9.11,$19.36,$65.29
Spot,$6.87,$15.60,$45.00
Ultimate Stuntman,$10.00,$28.39,$45.61
Ghoul School,$23.52,$49.00,$119.15
Metal Mech,$10.60,$28.44,$42.24
Star Force,$7.98,$21.95,$94.01
Urban Champion,$8.29,$70.00,$500.00
Road Runner,$9.95,$19.49,$197.00
Casino Kid,$4.95,$12.96,$44.90
Wizardry: Proving Grounds of the Mad Overlord,$10.95,$27.73,$134.99
Jeopardy,$3.93,$8.40,$26.00
Super Mario Bros [5 Screw],$12.95,$67.46,$147.12
Tecmo Cup Soccer,$55.70,$112.41,$162.50
Ultima Warriors of Destiny,$58.49,$90.00,$338.99
Mappy-Land,$8.15,$29.97,$108.52
NTF2 Test Cartridge,$301.74,$530.00,
Slalom,$7.29,$31.00,$99.20
Impossible Mission II,$12.65,$29.93,$47.57
The Three Stooges,$8.95,$25.00,$77.41
Millipede,$6.99,$12.61,$55.01
Tombs and Treasure,$17.57,$47.47,$150.00
Arch Rivals,$5.98,$19.50,$49.99
Black Bass,$5.75,$14.27,$48.39
Romance of the Three Kingdoms,$10.67,$23.53,$113.49
Prince of Persia,$21.55,$43.62,$111.25
Nobunaga's Ambition,$11.94,$29.99,$67.59
Mickey's Adventure in Numberland,$65.00,$132.82,$424.92
Alien Syndrome,$10.00,$27.00,$47.00
Bard's Tale,$17.01,$32.60,$104.31
Bram Stoker's Dracula,$31.10,$64.42,$134.99
Lee Trevino's Fighting Golf,$4.06,$10.99,$25.49
Terminator,$17.00,$47.11,$121.28
Castle of Dragon,$12.49,$32.75,$102.43
Jack Nicklaus Golf,$4.66,$8.44,$19.49
Magic Johnson's Fast Break,$3.41,$13.49,$35.25
BurgerTime [5 Screw],$16.13,$37.45,$119.84
Defender II,$5.93,$15.32,$39.09
Dudes with Attitude,$7.98,$27.06,$47.69
Wheel of Fortune Family Edition,$4.99,$8.48,$29.00
Defenders of Dynatron City,$32.88,$76.30,$122.86
